Saint Aloysius Church,http://www.aod.org,<li><a target="_blank" href="http://www.aod.org">Saint Aloysius Church</a></li>
Sargent Consulting Group, LLC,http://www.sargentconsultinggroup.com,<li><a target="_blank" href="http://www.sargentconsultinggroup.com">Sargent Consulting Group, LLC</a></li>
Second Ebenezer Church,http://www.secondebenezer.org,<li><a target="_blank" href="http://www.secondebenezer.org">Second Ebenezer Church</a></li>
SEMCOG,http://www.semcog.org,<li><a target="_blank" href="http://www.semcog.org">SEMCOG</a></li>
Shorecrest Motor Inn,http://www.shorecrestmi.com,<li><a target="_blank" href="http://www.shorecrestmi.com">Shorecrest Motor Inn</a></li>
SM Taylor Ventures, LLC,,<li>SM Taylor Ventures, LLC</li>
SMART,http://www.smartbus.org/smart/home,<li><a target="_blank" href="http://www.smartbus.org/smart/home">SMART</a></li>
Soave Enterprises Transportation Group,http://www.soave.com/core/diversified_transportation.php,<li><a target="_blank" href="http://www.soave.com/core/diversified_transportation.php">Soave Enterprises Transportation Group</a></li>
Spaling DeDecker Associates, Inc.,http://www.sda-eng.com,<li><a target="_blank" href="http://www.sda-eng.com">Spaling DeDecker Associates, Inc.</a></li>
SPEC Associates,http://www.specassociates.org,<li><a target="_blank" href="http://www.specassociates.org">SPEC Associates</a></li>
Strategic Staffing Solutions,http://www.strategicstaff.com,<li><a target="_blank" href="http://www.strategicstaff.com">Strategic Staffing Solutions</a></li>
Tenable Protective Services,http://www.tenable.net,<li><a target="_blank" href="http://www.tenable.net">Tenable Protective Services</a></li>
Testing Engineers & Consultants, Inc.,http://www.testingengineers.com,<li><a target="_blank" href="http://www.testingengineers.com">Testing Engineers & Consultants, Inc.</a></li>
The Detroit News,http://www.detroitnews.com,<li><a target="_blank" href="http://www.detroitnews.com">The Detroit News</a></li>
The Farbman Group,http://www.farbman.com,<li><a target="_blank" href="http://www.farbman.com">The Farbman Group</a></li>
The Kirlin Company,http://www.kirlinlighting.com,<li><a target="_blank" href="http://www.kirlinlighting.com">The Kirlin Company</a></li>
The Kresge Foundation,http://www.kresge.org,<li><a target="_blank" href="http://www.kresge.org">The Kresge Foundation</a></li>
The Parade Company,http://www.theparade.org,<li><a target="_blank" href="http://www.theparade.org">The Parade Company</a></li>
The Roxbury Group,http://www.roxburygroup.com,<li><a target="_blank" href="http://www.roxburygroup.com">The Roxbury Group</a></li>
The Smith Group,http://www.smithgroupjjr.com,<li><a target="_blank" href="http://www.smithgroupjjr.com">The Smith Group</a></li>
The Sterling Group,http://www.sgdetroit.com,<li><a target="_blank" href="http://www.sgdetroit.com">The Sterling Group</a></li>
The Stroh Companies Inc.,http://strohriverplace.com,<li><a target="_blank" href="http://strohriverplace.com">The Stroh Companies Inc.</a></li>
